1	1958	1958
2	1961	1962
3	1962	1962
4	1978	1979
5	1984	1985
6	1982	1982
7	1999	1999
8	1995	1995
9	1974	1974
10	1997	1998
11	1977	1977
13	1994	1995
14	1999	1999
15	1997	1998
16	1997	1998
17	1972	1982
18	1996	1996
19	2006	2006
20	2001	2001
21	2008	2009
22	1986	1986
23	2004	2004
24	1997	2001
76	2001	2007
77	2008	2018
78	1996	2000
79	2007	2019
80	1996	2004
81	2007	2013
82	1972	1986
83	1988	1993
84	1970	1979
85	1985	1996
86	1981	1994
87	1976	1980
88	1977	1984
89	1989	2001
90	1996	2010
91	2008	2008
92	1991	2002
93	1982	1991
94	1977	1978
95	2006	2018
96	2005	2009
97	1983	1986
98	2001	2005
99	2000	2004
100	1989	1998
101	1972	1976
102	1993	1999
103	1996	2004
104	1971	1985
105	2009	2020
106	1974	1982
107	1996	2006
108	2002	2012
109	1975	1979
110	1981	1981
111	1983	1990
112	1998	2004
113	1980	1982
114	1979	1980
115	2009	2020
116	1977	1980
117	1981	1986
118	1980	1985
119	1984	1998
120	1996	1996
121	1997	2000
122	1986	1990
123	1970	1980
124	1975	1988
125	1990	1993
126	2005	2005
127	1989	2001
128	2007	2015
129	1999	2001
130	1995	2000
131	1990	2002
132	2000	2008
133	1997	2010
134	2004	2018
135	1976	1983
136	1999	2002
137	2002	2010
138	1999	2000
139	1976	1982
140	1978	1980
141	2000	2006
142	1970	1980
143	1983	1990
144	1981	1989
145	1994	2008
146	1981	1992
147	1986	1994
148	2006	2008
149	1970	1972
150	1987	1998
151	2003	2006
152	1975	1979
153	2002	2004
154	2004	2009
155	1989	1998
156	2009	2011
157	1979	1985
158	1988	1996
159	1976	1977
160	1984	1993
161	1978	1981
162	2004	2004
163	1988	2002
164	1977	1979
165	1984	1989
166	1979	1990
167	1970	1972
168	1990	1996
169	1996	2009
170	1987	1993
171	1992	2000
172	1970	1972
173	1979	1982
174	1999	2013
175	1986	1996
176	2009	2012
177	1973	1976
178	1995	2009
179	1977	1981
180	1987	1996
181	1997	2004
182	1984	1984
183	1979	1988
184	2000	2012
185	1989	1992
186	1978	1983
187	2009	2012
188	1987	1992
189	1994	1996
190	1997	1997
191	1978	1978
192	1978	1983
193	1996	2009
194	2000	2012
195	1985	1985
196	1987	1995
197	1992	2002
198	1980	1981
199	1999	2003
200	1972	1975
201	2002	2015
202	2004	2010
203	1988	1989
204	1994	2001
205	2008	2020
206	1999	2002
207	2009	2011
208	1980	1983
209	1981	1983
210	1992	2006
211	2009	2016
212	2007	2018
213	2002	2015
214	1984	1995
215	2003	2006
216	2006	2020
217	2005	2009
218	2006	2013
219	1990	1991
220	1972	1974
221	1983	1989
222	1978	1979
223	1991	2002
224	2004	2017
225	1997	2003
226	1983	1988
227	2000	2004
228	2005	2005
229	1970	1974
230	1990	2001
231	1997	2003
232	1976	1981
233	1971	1981
234	1998	2001
235	1975	1987
236	1990	1996
237	1987	1998
238	1990	1990
239	1989	1990
240	1978	1984
241	1998	1998
242	1998	2008
243	2006	2020
244	1988	1996
245	2006	2014
246	1970	1979
247	1981	1992
248	1983	1992
249	1994	2007
250	1980	1986
251	2007	2012
252	1992	2003
253	1994	1997
254	2005	2019
255	1996	2005
256	1970	1970
257	1997	2004
258	2006	2018
259	1981	1994
260	2001	2006
261	1972	1974
262	1995	2008
263	1983	1986
264	1989	1989
265	1983	1984
266	2000	2008
267	2004	2011
268	1992	2006
269	2006	2011
270	1976	1982
271	1973	1987
272	1977	1984
273	1971	1974
274	2006	2009
275	2009	2020
276	1992	1999
277	2002	2013
278	1971	1981
279	1995	2001
280	1975	1988
281	2008	2013
282	2004	2012
283	1971	1972
284	1990	1997
285	1973	1978
286	1976	1985
287	1985	1998
288	1999	2013
289	1987	1997
290	2004	2006
291	1973	1973
292	1972	1983
293	1992	2001
294	1979	1989
295	1998	2007
296	1991	1991
297	1979	1987
298	1979	1991
299	1971	1976
300	1970	1978
301	1988	1997
302	1994	1995
303	1992	2000
304	1977	1985
305	2000	2009
306	2002	2013
307	2008	2017
308	1981	1983
309	1998	2012
310	1973	1987
311	1988	1988
312	1987	1993
313	1988	1993
314	1971	1976
315	2000	2006
316	1993	2007
317	1981	1994
318	1990	1991
319	1980	1993
320	1978	1990
321	1977	1986
322	1983	1986
323	1986	1992
324	1985	1995
325	1990	2004
326	1992	1995
327	1978	1991
328	1995	2006
329	1983	1987
330	1981	1994
331	1986	1992
332	1988	1999
333	1993	2002
334	1980	1980
335	1992	2001
336	2006	2015
337	1992	2001
338	1971	1982
339	1997	2003
340	1979	1988
341	1979	1984
342	1972	1985
343	1990	1996
344	1970	1974
345	1977	1983
346	1977	1991
347	1979	1988
348	1983	1994
349	2006	2009
350	1992	2004
351	1993	1993
352	1987	1990
353	2001	2009
354	1998	2011
355	2000	2008
356	1978	1991
357	2001	2007
358	1997	2001
359	1982	1994
360	1991	2001
361	1989	1992
362	1982	1987
363	1979	1981
364	2006	2020
365	1987	1988
366	1995	2008
367	1993	1995
368	1970	1973
369	2001	2001
370	1975	1975
371	1973	1987
372	1997	2010
373	2004	2005
374	1997	2009
375	1973	1984
376	1992	1999
377	1984	1989
378	2009	2020
379	1990	2001
380	1986	1987
381	2009	2020
382	1995	1997
383	1986	1986
384	2009	2020
385	2009	2018
386	2001	2002
387	1977	1981
388	2009	2012
389	1990	1990
390	1971	1985
391	1993	1996
392	1992	2006
393	1983	1985
394	1988	1999
395	1985	1992
